,Unnamed: 0,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude.1,longitude.1,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
97,97,33.4,-117.3,AMT006,BEA161,60730187001001.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.4,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
98,98,33.4,-117.2,AMT006,BEA161,60730190012039.0,19.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.4,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
99,99,33.4,-117.1,AMT006,BEA161,60730191014027.0,2.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.4,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
100,100,33.4,-116.3,AMT006,BEA161,60730210002001.0,9.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.4,-116.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
101,101,33.4,-116.0,AMT006,BEA160,60250123022006.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.4,-116.0,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
102,102,33.4,-115.9,AMT006,BEA160,60250123022000.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.4,-115.9,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
103,103,33.4,-115.7,AMT006,BEA160,60250124001057.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.4,-115.7,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
104,104,33.4,-114.7,AMT006,BEA160,40120206022162.0,0.0,BTA347,CMA321,4012.0,La Paz,EAG006,IVM321,33.4,-114.7,MEA044,MTA027,PEA157,REA006,RPC005,AZ,4.0,Arizona,VPC006
105,105,33.5,-117.8,AMT006,BEA160,60599901000027.0,0.0,BTA262,CMA002,6059.0,Orange,EAG006,IVM002,33.5,-117.8,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
106,106,33.5,-117.7,AMT006,BEA160,60590423323006.0,89.0,BTA262,CMA002,6059.0,Orange,EAG006,IVM002,33.5,-117.7,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
107,107,33.5,-117.6,AMT006,BEA160,60590320233025.0,3.0,BTA262,CMA002,6059.0,Orange,EAG006,IVM002,33.5,-117.6,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
108,108,33.5,-117.3,AMT006,BEA160,60650497002052.0,48.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-117.3,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
109,109,33.5,-117.2,AMT006,BEA160,60650512002055.0,57.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-117.2,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
110,110,33.5,-117.1,AMT006,BEA160,60650432643004.0,68.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-117.1,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
111,111,33.5,-117.0,AMT006,BEA160,60650432391079.0,22.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-117.0,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
112,112,33.5,-116.9,AMT006,BEA160,60650432391139.0,137.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-116.9,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
113,113,33.5,-116.8,AMT006,BEA160,60650444021176.0,75.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-116.8,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
114,114,33.5,-116.7,AMT006,BEA160,60650444032035.0,66.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-116.7,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
115,115,33.5,-116.6,AMT006,BEA160,60650444033127.0,108.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-116.6,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
116,116,33.5,-116.4,AMT006,BEA160,60650444033012.0,0.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-116.4,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
117,117,33.5,-116.2,AMT006,BEA160,60650444033210.0,6.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-116.2,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
118,118,33.5,-116.1,AMT006,BEA160,60650456055023.0,16.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-116.1,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
119,119,33.5,-116.0,AMT006,BEA160,60650456043228.0,0.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-116.0,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
120,120,33.5,-115.8,AMT006,BEA160,60650456043115.0,20.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-115.8,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
121,121,33.5,-115.2,AMT006,BEA160,60650469001475.0,145.0,BTA262,CMA002,6065.0,Riverside,EAG006,IVM002,33.5,-115.2,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
